Repository;Datum;Views;Clones;Unique Views;Unique Clones
WorkingGroup_Synthetic_Data;2026-06-07;0;0;0;0
WorkingGroup_Synthetic_Data;2026-06-06;0;0;0;0
WorkingGroup_Synthetic_Data;2026-06-05;1;0;1;0
WorkingGroup_Synthetic_Data;2026-06-04;1;1;1;1
WorkingGroup_Synthetic_Data;2026-06-03;0;1;0;1
WorkingGroup_Synthetic_Data;2026-06-02;0;1;0;1
WorkingGroup_Synthetic_Data;2026-06-01;6;0;2;0
WorkingGroup_Synthetic_Data;2026-05-31;0;0;0;0
WorkingGroup_Synthetic_Data;2026-05-30;0;0;0;0
WorkingGroup_Synthetic_Data;2026-05-29;0;0;0;0
WorkingGroup_Synthetic_Data;2026-05-28;0;0;0;0
WorkingGroup_eXplainableAI_Notebooks;2026-06-10;0;1;0;1
WorkingGroup_eXplainableAI_Notebooks;2026-06-09;4;1;2;1
WorkingGroup_eXplainableAI_Notebooks;2026-06-08;5;1;2;1
WorkingGroup_eXplainableAI_Notebooks;2026-06-07;1;0;1;0
WorkingGroup_eXplainableAI_Notebooks;2026-06-06;0;0;0;0
WorkingGroup_eXplainableAI_Notebooks;2026-06-05;0;1;0;1
WorkingGroup_eXplainableAI_Notebooks;2026-06-04;0;1;0;1
WorkingGroup_eXplainableAI_Notebooks;2026-06-03;1;1;1;1
WorkingGroup_eXplainableAI_Notebooks;2026-06-02;6;0;3;0
WorkingGroup_eXplainableAI_Notebooks;2026-06-01;0;0;0;0
WorkingGroup_eXplainableAI_Notebooks;2026-05-31;0;1;0;1
WorkingGroup_eXplainableAI_Notebooks;2026-05-30;1;0;1;0
WorkingGroup_eXplainableAI_Notebooks;2026-05-29;1;0;1;0
WorkingGroup_eXplainableAI_Notebooks;2026-05-28;0;0;0;0
claim_frequency;2026-06-10;0;0;0;0
claim_frequency;2026-06-09;1;0;1;0
claim_frequency;2026-06-08;0;1;0;1
claim_frequency;2026-06-07;0;0;0;0
claim_frequency;2026-06-06;3;0;1;0
claim_frequency;2026-06-05;1;0;1;0
claim_frequency;2026-06-04;1;0;1;0
claim_frequency;2026-06-03;4;2;2;2
claim_frequency;2026-06-02;1;0;1;0
claim_frequency;2026-06-01;0;0;0;0
claim_frequency;2026-05-31;0;0;0;0
claim_frequency;2026-05-30;8;1;4;1
claim_frequency;2026-05-29;0;0;0;0
claim_frequency;2026-05-28;0;0;0;0
insurance_scr_data;2026-06-12;1;0;1;0
insurance_scr_data;2026-06-11;2;0;2;0
insurance_scr_data;2026-06-10;0;1;0;1
insurance_scr_data;2026-06-09;0;0;0;0
insurance_scr_data;2026-06-08;0;1;0;1
insurance_scr_data;2026-06-07;2;0;2;0
insurance_scr_data;2026-06-06;0;0;0;0
insurance_scr_data;2026-06-05;0;0;0;0
insurance_scr_data;2026-06-04;0;0;0;0
insurance_scr_data;2026-06-03;0;1;0;1
insurance_scr_data;2026-06-02;2;0;1;0
insurance_scr_data;2026-06-01;0;0;0;0
insurance_scr_data;2026-05-31;0;0;0;0
insurance_scr_data;2026-05-30;0;0;0;0
portxlpy;2026-06-12;0;0;0;0
portxlpy;2026-06-11;0;0;0;0
portxlpy;2026-06-10;5;0;1;0
portxlpy;2026-06-09;0;0;0;0
portxlpy;2026-06-08;0;0;0;0
portxlpy;2026-06-07;0;1;0;1
portxlpy;2026-06-06;0;1;0;1
portxlpy;2026-06-05;0;0;0;0
portxlpy;2026-06-04;0;0;0;0
portxlpy;2026-06-03;0;1;0;1
portxlpy;2026-06-02;0;0;0;0
portxlpy;2026-06-01;0;0;0;0
portxlpy;2026-05-31;0;1;0;1
portxlpy;2026-05-30;0;0;0;0
